item_id,month,sales_volume,price,holiday_influence,marketing_spend
1,2022-01,252,17.97,0,4118.76
1,2022-02,243,11.56,0,1232.33
1,2022-03,337,13.34,0,3603.55
1,2022-04,631,19.7,1,1849.36
1,2022-05,341,19.92,0,3446.61
1,2022-06,302,14.32,0,3447.41
1,2022-07,219,10.47,1,1931.09
1,2022-08,322,17.85,0,3056.94
1,2022-09,269,14.67,1,3721.23
1,2022-10,305,10.65,1,4862.53
1,2022-11,191,13.85,0,1923.58
1,2022-12,141,14.4,0,2980.71
1,2023-01,580,11.73,0,1728.94
1,2023-02,610,13.12,0,3186.84
1,2023-03,659,10.31,1,2799.02
1,2023-04,424,18.95,0,4687.5
1,2023-05,464,15.21,1,4378.14
1,2023-06,386,12.71,1,2427.01
1,2023-07,201,16.07,0,2185.09
1,2023-08,277,10.75,1,4088.98
1,2023-09,85,10.06,1,3827.43
1,2023-10,39,17.9,0,4705.2
1,2023-11,90,19.15,1,2797.8
1,2023-12,82,10.64,0,2300.73
1,2024-01,248,15.91,0,3244.97
1,2024-02,549,11.2,1,4043.14
1,2024-03,467,12.36,0,1161.73
1,2024-04,429,14.28,0,1431.57
1,2024-05,212,18.96,0,3253.1
1,2024-06,437,19.08,0,2641.53
1,2024-07,220,12.03,1,3395.46
1,2024-08,219,11.61,1,4232.48
1,2024-09,290,11.05,0,1873.76
1,2024-10,216,18.93,0,4229.76
1,2024-11,397,13.56,1,2088.53
1,2024-12,432,14.27,1,4442.92
2,2022-01,508,11.65,0,2939.32
2,2022-02,447,11.2,0,4771.64
2,2022-03,623,12.19,0,2615.34
2,2022-04,640,19.72,1,2007.13
2,2022-05,535,17.12,0,4990.96
2,2022-06,236,16.1,0,1205.92
2,2022-07,173,19.08,0,1579.58
2,2022-08,48,14.48,0,3370.79
2,2022-09,288,17.62,0,3912.87
2,2022-10,256,14.7,1,2595.3
2,2022-11,189,17.98,0,3032.8
2,2022-12,398,18.58,0,1880.96
2,2023-01,495,15.12,0,3580.69
2,2023-02,530,19.41,0,3071.01
2,2023-03,609,11.38,0,1453.89
2,2023-04,373,15.41,0,1914.2
2,2023-05,293,18.17,0,3118.6
2,2023-06,151,19.96,1,3233.17
2,2023-07,109,16.33,0,2396.84
2,2023-08,280,18.47,1,2618.03
2,2023-09,10,16.42,0,1646.51
2,2023-10,298,16.69,0,2489.13
2,2023-11,48,19.74,0,2221.46
2,2023-12,243,16.92,0,1897.08
2,2024-01,310,10.18,0,1715.29
2,2024-02,706,17.44,1,2232.24
2,2024-03,425,10.94,0,2060.81
2,2024-04,560,15.9,1,2946.97
2,2024-05,513,16.31,1,3010.55
2,2024-06,433,16.69,1,1920.74
2,2024-07,253,12.81,0,3581.89
2,2024-08,0,19.95,0,2118.24
2,2024-09,0,13.7,0,4713.27
2,2024-10,278,19.67,1,4412.04
2,2024-11,140,13.06,0,2073.9
2,2024-12,372,11.69,0,4744.62
3,2022-01,207,19.3,0,1835.67
3,2022-02,653,19.9,0,3073.32
3,2022-03,735,13.23,1,1546.49
3,2022-04,468,13.59,0,4237.44
3,2022-05,504,12.56,0,1326.38
3,2022-06,540,15.02,1,3599.86
3,2022-07,449,10.51,1,1110.47
3,2022-08,230,10.94,0,1143.77
3,2022-09,102,11.55,1,4355.73
3,2022-10,0,10.31,0,4290.4
3,2022-11,3,15.37,0,4311.48
3,2022-12,109,12.16,0,1341.39
3,2023-01,514,11.94,0,3798.05
3,2023-02,746,17.26,1,3065.2
3,2023-03,407,10.41,0,2734.08
3,2023-04,280,10.78,0,4850.59
3,2023-05,428,14.28,0,1232.77
3,2023-06,171,11.56,0,3196.91
3,2023-07,97,11.83,1,3553.08
3,2023-08,65,17.38,0,3446.88
3,2023-09,96,10.48,0,1634.59
3,2023-10,0,10.14,0,1184.01
3,2023-11,143,18.55,1,2896.7
3,2023-12,367,17.63,1,2385.22
3,2024-01,403,14.34,0,3463.4
3,2024-02,547,18.87,0,1061.22
3,2024-03,496,15.03,1,3634.77
3,2024-04,326,16.16,1,4777.01
3,2024-05,633,16.36,1,3708.67
3,2024-06,212,16.43,0,3182.47
3,2024-07,150,16.26,1,3605.94
3,2024-08,0,11.96,0,1403.11
3,2024-09,235,10.39,0,2346.22
3,2024-10,66,13.19,1,1093.09
3,2024-11,367,12.61,0,3771.56
3,2024-12,263,16.29,1,3940.28
4,2022-01,426,19.68,0,2693.88
4,2022-02,730,18.07,1,2650.47
4,2022-03,445,13.41,1,4433.65
4,2022-04,691,16.8,1,1952.94
4,2022-05,435,19.03,0,4305.83
4,2022-06,391,12.98,0,1213.94
4,2022-07,394,19.05,0,2277.25
4,2022-08,82,16.77,0,2972.1
4,2022-09,0,14.48,0,2314.66
4,2022-10,355,12.13,1,4125.18
4,2022-11,0,10.91,0,1230.24
4,2022-12,372,10.56,1,3183.66
4,2023-01,480,11.17,0,4046.04
4,2023-02,623,11.01,0,3803.88
4,2023-03,519,13.97,1,1586.42
4,2023-04,351,10.85,1,2497.08
4,2023-05,470,18.8,0,4630.77
4,2023-06,350,17.53,0,1334.0
4,2023-07,494,13.78,1,1994.9
4,2023-08,0,11.11,0,1045.41
4,2023-09,169,15.71,1,4068.78
4,2023-10,359,16.49,1,3333.48
4,2023-11,139,14.0,0,1331.57
4,2023-12,566,12.24,1,1048.62
4,2024-01,309,15.56,0,1173.6
4,2024-02,435,19.93,0,3215.42
4,2024-03,269,10.75,0,1867.24
4,2024-04,365,14.55,0,3337.26
4,2024-05,393,17.37,1,4834.81
4,2024-06,321,18.9,0,3480.53
4,2024-07,0,11.7,0,2553.07
4,2024-08,192,15.84,0,4897.58
4,2024-09,41,14.53,0,2119.05
4,2024-10,88,16.03,0,1532.74
4,2024-11,84,18.23,1,3902.88
4,2024-12,352,19.19,0,4506.65
5,2022-01,400,10.45,0,2505.85
5,2022-02,387,14.8,1,2506.96
5,2022-03,631,13.81,1,4368.48
5,2022-04,639,14.69,0,2093.63
5,2022-05,560,18.65,1,4998.87
5,2022-06,407,19.13,0,3904.48
5,2022-07,151,18.5,0,2802.18
5,2022-08,242,12.51,0,1828.91
5,2022-09,298,16.72,0,2432.65
5,2022-10,0,10.22,0,2904.84
5,2022-11,308,15.2,1,3207.63
5,2022-12,538,10.88,1,3359.82
5,2023-01,504,10.29,1,3481.24
5,2023-02,388,18.05,1,3469.05
5,2023-03,475,13.51,0,2568.98
5,2023-04,669,10.91,1,3189.79
5,2023-05,484,13.97,0,4449.45
5,2023-06,182,17.96,0,4368.37
5,2023-07,222,12.58,0,4920.13
5,2023-08,0,13.47,0,3318.6
5,2023-09,220,15.37,0,3339.06
5,2023-10,250,16.98,0,3786.01
5,2023-11,230,18.97,0,3670.23
5,2023-12,483,16.02,0,4287.16
5,2024-01,241,13.48,0,3194.86
5,2024-02,355,14.61,0,2457.08
5,2024-03,327,13.3,0,1369.16
5,2024-04,269,16.28,0,4494.31
5,2024-05,468,13.77,0,4473.2
5,2024-06,57,17.48,0,1837.4
5,2024-07,76,19.24,0,4039.82
5,2024-08,54,14.63,1,1146.73
5,2024-09,161,11.33,0,4377.76
5,2024-10,239,15.32,0,2789.65
5,2024-11,176,13.97,0,3949.62
5,2024-12,77,10.2,0,1845.79
6,2022-01,375,11.2,1,3374.37
6,2022-02,290,13.55,0,2918.33
6,2022-03,477,15.37,0,3981.76
6,2022-04,591,15.64,0,2349.79
6,2022-05,329,16.46,0,2424.39
6,2022-06,514,13.3,1,1030.14
