item_id,month,sales_volume,price,holiday_influence,marketing_spend,original_price,price_noise,sales_volume_noise,holiday_influence_noise
4,01-04-2024,303,$17.59,0,-,17.62,-0.001861321090682766,1.0533615026041694,False
4,2024-07,457,18.58,0,1880.96,18.58,,1.148584236075087,False
1,01-11-2024,382,19.92,0,,19.92,,1.1214688307596459,True
5,2024-05,245,18.47,0,2618.03,18.47,,0.8746280235544144,False
3,01-01-2024,540,$13.71,0,1161.73,12.36,0.10893102776267807,1.1570235993959912,False
6,2024-11,521,16.31,1,3010.55,16.31,,1.0157368967662603,False
7,2024-04,733,19.9,0,3073.32,19.9,,1.122976062065625,False
1,2024-07,221,13.85,0,1923.58,13.85,,1.1584365199693973,False
4,2024-12,496,17.12,0,4990.96,17.12,,0.9272013899887456,False
9,2024-04,222,16.29,1,3940.28,16.29,,0.8440207698110707,False
2,2024-10,179,$15.23,1,2185.09,16.07,-0.052445003391975886,0.8911740650167767,False
6,01-07-2024,413,$9.69,0,2060.81,10.94,-0.1141217262185095,0.9708431154505025,False
1,2024-05,159,$14.44,0,2980.71,14.4,0.0025712073494108256,1.1272059063689972,True
4,2024-05,581,11.65,0,2939.32,11.65,,1.1442922333025374,False
8,2024-12,137,11.56,0,minimum,11.56,,0.8027808522124763,False
8,2024-02,65,$19.51,0,,17.38,0.12226994217782791,1.0042989210310262,False
10,2024-10,706,18.07,1,-,18.07,,0.9669644012595116,False
1,2024-01,224,17.97,0,,17.97,,0.8888431241882921,False
8,2024-03,363,$15.94,0,-,14.28,0.11616382277289797,0.8479461469334731,False
9,01-10-2024,220,10.39,0,2346.22,10.39,,0.9350460685614512,False
6,2024-12,510,16.69,1,-,16.69,,1.1771638815650076,False
4,01-11-2024,238,14.7,1,2595.3,14.7,,0.9292811728083021,False
3,"Apr 01, 2024",221,$10.88,1,4232.48,11.61,-0.06307456412586959,1.0075162486973464,False
6,2024-03,151,13.06,0,,13.06,,1.0812075835580712,True
4,2024-03,164,$17.53,0,1579.58,19.08,-0.08136055035251326,0.9454518409517176,False
2,01-02-2024,689,11.73,1,1728.94,11.73,,1.1887128330883843,False
2,2024-08,502,$17.99,0,-,18.95,-0.05073059254420524,1.1849789179768444,False
10,2024-09,355,19.05,0,2277.25,19.05,,0.9007129183301457,False
7,2024-03,503,12.56,0,1326.38,12.56,,0.9988994023569542,False
9,01-02-2024,503,18.87,0,1061.22,18.87,,0.9203513239267078,False
3,2024-05,227,15.91,0,3244.97,15.91,,0.913936197750987,False
7,2024-08,366,$9.03,1,1110.47,10.51,-0.1405712442939797,0.8147547789418131,False
2,2024-07,94,19.15,1,2797.8,19.15,,1.0438257335919587,False
9,2024-09,403,14.34,0,minimum,14.34,,1.0010716092915446,False
5,01-10-2024,8,16.42,0,1646.51,16.42,,0.8205915004999957,False
10,2024-08,406,13.41,1,4433.65,13.41,,0.9114585856946446,False
3,2024-03,256,$12.80,1,3395.46,12.03,0.06397343616689849,1.1633063543866615,False
5,2024-12,135,19.96,1,3233.17,19.96,,0.8958247562667889,False
10,2024-11,0,10.91,0,1230.24,10.91,,0.8579579488364892,False
1,2024-03,304,10.65,1,4862.53,10.65,,0.9957811041110252,False
3,2024-07,258,$20.23,0,4229.76,18.93,0.06888185350141923,1.1942601816442404,True
3,01-11-2024,492,11.2,1,4043.14,11.2,,0.8968221086046002,True
6,2024-02,297,$18.57,1,4412.04,19.67,-0.055693205677101995,1.0688542189623513,False
3,2024-09,234,18.96,0,3253.1,18.96,,1.104647846131487,False
9,2024-03,444,$14.39,1,3634.77,15.03,-0.04246028143671822,0.8950550175969598,False
